Population ID;Voucher Number;Herbarium;Individuals;Taxon;Nr. of Individuals Sampled;Collected;Country;State or Province;USA County;Location Description;Elevation (m);Latitude;Longitude;Ecology;Major Associated Woody Plant Genera;Abundance and Form;Population Size Estimate;MAT;MWMT;MCMT;TD;MAP;MSP;AHM;SHM;DD_0;DD5;DD_18;DD18;NFFD;bFFP;eFFP;FFP;EMT;EXT;Eref;CMD;RH;OM;P1;P2;BICARB;K;MG;CA;NA;PH;CEC;PERCENT_K;PERCENT_MG;PERCENT_CA;PERCENT_NA;SOL_SALTS
ANN_01;1794;IND;ANN0801-0810;Helianthus annuus;30;30. Aug 15;United States;California;Yolo;Yolo Bypass, N of Interstate 80;6;38,56535;-121,63765;Grassland on flat, with deep soil derived from alluvium;Populus, Scirpus, and Salix.;Abundant. Annual herb, up to 1.5 m tall.;10.000;16;24,3;7,2;17,2;461;22;56,5;1120,9;28;4074;1484;743;340;50;340;290;-11,8;43,5;1331;1029;56;4,1;45;91;0;342;1288;2541;253;7;25,4;3,5;42,3;49,9;4,3;1
ANN_02;1796;IND;ANN0811-0820;Helianthus annuus;29;31. Aug 15;United States;California;San Benito;Panoche Creek, roadside on Panoche Road, E of Panoche;295;36,59499;-120,75822;Wetland on banks of perennial watercourse, with deep soil derived from alluvial parent material;Salix, Typha, and Atriplex.;Infrequent. Annual herb, up to 3.0 m tall.;100;15,7;24,9;7,4;17,4;220;17;116,8;1461,4;28;3964;1569;722;315;83;325;242;-16,1;43,8;1452;1231;50;0,4;7;60;9;182;594;3442;1257;8,5;28,1;1,7;17,6;61,3;19,4;3,4
ANN_03;1797;IND;ANN0821-0830;Helianthus annuus;31;31. Aug 15;United States;California;Fresno;Anticline Ridge, roadside on Shell Road, just W of intersection with California State Route 33;295;36,24542;-120,31654;Shrubland on bottom of SE-trending ravine, with deep soil derived from alluvium;Salsola and Atriplex.;Abundant. Annual herb, up to 2.0 m tall.;2000;16,6;26,5;7,3;19,3;217;16;122,2;1672,4;28;4259;1481;934;328;68;330;263;-14;44,2;1452;1239;53;4;27;136;0;562;433;4155;249;8,1;26,9;5,4;13,4;77,2;4;0,5
ANN_04;1798;IND;ANN0831-0840;Helianthus annuus;30;01. Sep 15;United States;California;Ventura;Lockwood Valley, roadside on Lockwood Valley Road;1560;34,75087;-119,07235;Herbaceous plant community on bottom of drying vernal pool, with deep soil derived from alluvium and other sediment;Ericameria and Artemisia.;Abundant. Annual herb, up to 1.0 m tall.;1.000;10,5;19,8;3,2;16,6;564;32;36,3;622,3;108;2292;2925;190;208;150;273;124;-26,1;41,2;1296;951;45;1,7;22;178;26;718;1135;5822;71;7,9;40,7;4,5;23,2;71,5;0,8;0,6
ANN_05;1799;IND;ANN0841-0850;Helianthus annuus;30;01. Sep 15;United States;California;Riverside;Coachella Valley, W of Harrison Street and NE of Old California 86;-14;33,69278;-116,18411;Fallow agricultural field, with deep soil derived from alluvium;Salsola, Datura, and Ricinus.;Abundant. Annual herb, up to 3.0 m tall.;1.000;22,4;33;12,2;20,8;78;24;415,4;1404,4;7;6335;627;2204;349;42;343;301;-10;49;1801;1724;50;1;51;150;0;264;318;2435;574;7,7;18;3,8;14,7;67,6;13,9;2,4
ANN_06;1800;IND;ANN0851-0860;Helianthus annuus;29;02. Sep 15;United States;California;San Bernardino;Cajon Canyon, roadside on Cajon Boulevard;738;34,24976;-117,45148;Chaparral and woodland on N-facing slope, with shallow, rocky soil derived from granite parent material;Eriogonum, Artemisia, Prunus, Juglans, and Platanus.;Abundant. Annual herb, up to 2.5 m tall.;10.000;16,4;24,7;10;14,7;664;56;39,8;443;17;4182;1337;730;346;45;350;305;-8,7;43,7;1370;938;57;1,9;16;132;13;67;232;2892;75;7,6;16,9;1;11,4;85,7;1,9;0,3
ANN_07;1802;IND;ANN0861-0870;Helianthus annuus;26;11. Sep 15;United States;California;Alpine;Luther Pass, roadside on California State Route 89;2330;38,7892;-119,9363;Forest and disturbed roadside vegetation, with deep soil from granite parent material;Pinus, Juniperus, Arctostaphylos, Purshia, Ceanothus, and Abies;Locally abundant. Annual herb, up to 0.5 m tall.;100;4,7;14,4;-2,9;17,3;1051;158;14;91,2;501;1084;4859;18;142;186;255;69;-33,1;33,8;724;416;55;1,1;8;115;0;69;83;773;172;7,5;5,5;3,2;12,6;70,6;13,6;0,1
ANN_08;1803;IND;ANN0871-0880;Helianthus annuus;27;11. Sep 15;United States;California;Alpine;East Fork Carson River Canyon, roadside on California State Route 89;1710;38,67722;-119,73895;Woodland on steep, S-facing slope, with rocky soil derived from conglomerate parent material;Pinus, Artemisia, Purshia, and Ericameria.;Locally abundant. Annual herb, up to 1.0 m tall.;2000;7,8;18,4;-0,8;19,2;634;106;28;172,9;273;1748;3815;101;167;165;256;91;-31,3;38,6;1021;710;48;1,3;19;135;16;447;937;6219;56;7,6;40,3;2,8;19,4;77,2;0,6;1,4
ANN_09;1804;IND;ANN0881-0890;Helianthus annuus;29;11. Sep 15;United States;California;Inyo;Fish Slough, at intersection of Fish Slough Road and Upper Canal Road;1270;37,43321;-118,40646;Riparian shrubland on banks of perennial stream;Ericameria, Typha, Helianthus, and Populus.;Locally abundant. Annual herb, up to 1.5 m tall.;1.000;13,5;24,9;3,3;21,7;120;24;196,1;1022,2;84;3323;2284;640;227;118;282;164;-28,2;44,5;1475;1354;40;2,7;14;53;10;324;90;2057;862;7,7;15,6;5,3;4,8;65,9;24;1,8
ANN_10;1805;IND;ANN0891-0900;Helianthus annuus;30;12. Sep 15;United States;California;Inyo;Lone Pine, East side, roadside on California State Route 168, W of Owens River;1205;37,17346;-118,27904;Grassland on flat, with deep soil;Ericameria, Salix, Rosa, and Salsola.;Locally abundant. Annual herb, up to 1.5 m tall.;10.000;14,3;26;3,9;22,1;133;27;183;979,9;70;3566;2113;758;249;113;292;179;-25,8;44,3;1460;1326;44;3;5;64;16;484;278;2925;211;8,3;19,1;6,5;12,1;76,6;4,8;0,4
